latitude,longitude
28.427490802376948,-81.30263715491245
28.4390142861282,-81.31645700421105
28.43463987883623,-81.30614748095547
28.431973169683943,-81.30323769420704
28.42312037280885,-81.30110771561051
28.423119890406724,-81.3063350394342
28.421161672243365,-81.31005650471982
28.4373235229155,-81.30764305519597
28.432022300234866,-81.30262190031043
28.434161451555923,-81.30858780506722
28.420411689885917,-81.31939225880606
28.439398197043243,-81.30138102608986
28.43664885281601,-81.30620946497936
28.42424678221357,-81.30646973228446
28.423636499344145,-81.31568649695204
28.42366809019707,-81.30682229059535
28.426084844859194,-81.31212271188691
28.430495128632646,-81.30697534045916
28.428638900372842,-81.31786813939384
28.425824582803962,-81.30684309390793
28.43223705789445,-81.30001172548458
28.42278987721304,-81.31903575922279
28.425842892970707,-81.30045651631558
28.427327236865874,-81.31186184078554
28.42912139968434,-81.30258493099325
28.43570351922786,-81.30435229031883
28.42399347564317,-81.30865967478026
28.430284688768275,-81.30523101581497
28.431848291377243,-81.30242968877397
28.4209290082544,-81.31191719356697
28.43215089703803,-81.31345933676873
28.42341048247375,-81.30664813228873
28.421301031859706,-81.30384308116118
28.438977710745068,-81.30475429730447
28.43931264066149,-81.30404372702283
28.436167946962332,-81.31128833370374
28.426092275383468,-81.3036433156765
28.42195344228013,-81.31759581889258
28.433684660530243,-81.30911021804077
28.428803049874794,-81.31988482679003
28.422440764696898,-81.31350828340199
28.429903538202225,-81.31267076930257
28.420687770422305,-81.31207654616782
28.438186408041577,-81.3060906558662
28.425175599632002,-81.31222883797459
28.43325044568708,-81.31102612754755
28.42623422152179,-81.3152491173825
28.43040136042356,-81.31253496416741
28.430934205586865,-81.31545460745473
28.42369708911051,-81.31853608152463
28.439391692555294,-81.30793102813237
28.435502656467225,-81.3066357440289
28.438789978831284,-81.30761019307981
28.437896547008556,-81.31073011912399
28.431957999576223,-81.31240428439641
28.438437484700465,-81.30273332700855
28.42176985004104,-81.30961836429726
28.423919657248383,-81.3104163624474
28.420904545778214,-81.31948715868387
28.426506606615266,-81.31317504344747
28.42777354579379,-81.31239608762428
28.42542698063548,-81.31202354438206
28.43657475018304,-81.30839655261545
28.42713506653387,-81.30932794906546
28.425618690193748,-81.30784189814413
28.430853921663168,-81.30470233476916
28.422818484499498,-81.30374028522567
28.436043939615082,-81.30563753847547
28.4214910128736,-81.3008895260809
28.439737738732013,-81.31963534834647
28.435444895385935,-81.31608444028632
28.423974313630683,-81.31984874250043
28.420110442342473,-81.3070505057169
28.436309228569097,-81.30203938902099
28.434137146876953,-81.31513035406847
28.434580143360822,-81.30145930910408
28.43542540693372,-81.3187946521942
28.421480893034683,-81.30131127946389
28.427169314570886,-81.31296754625521
28.422317381190503,-81.317971583431
28.437262068517512,-81.31028256481626
28.432465962536554,-81.31486446864558
28.426617960497055,-81.31430254196076
28.421271167005724,-81.31385420070147
28.426219646434316,-81.30393948204335
28.426503666440535,-81.30921677446649
28.434592123566762,-81.31377384601687
28.432751149427105,-81.30779332433377
28.437744254851527,-81.30567698651554
28.429444298503242,-81.31454751998533
28.422391884918767,-81.31172901796948
28.434264895744462,-81.31756227813325
28.43521570097234,-81.3163770130093
28.431225543951392,-81.3063776429207
28.435419343599094,-81.31637123304608
28.42987591192729,-81.30949673232665
28.430454656587642,-81.30581907476555
28.42855082036717,-81.3178624615381
28.420508382534884,-81.30865375560742
28.422157828539866,-81.31486874432596
28.420628583713736,-81.30074146249524
28.432728208225278,-81.3103290870656
28.426287119621527,-81.3038801490045
28.430171413823295,-81.30899546915687
28.438151329478522,-81.3191317493429
